,,,,Labels (version 1999 except in italics = version 1995),,,,NUTS ,Sorting order ,,
179,DE243,DE243,,,,"Coburg, Kreisfreie Stadt ",,3,3,179,179
180,DE244,DE244,,,,"Hof, Kreisfreie Stadt ",,3,3,180,180
181,DE245,DE245,,,,"Bamberg, Landkreis ",,3,3,181,181
182,DE246,DE246,,,,"Bayreuth, Landkreis ",,3,3,182,182
183,DE247,DE247,,,,"Coburg, Landkreis ",,3,3,183,183
184,DE248,DE248,,,,Forchheim ,,3,3,184,184
185,DE249,DE249,,,,"Hof, Landkreis ",,3,3,185,185
186,DE24A,DE24A,,,,Kronach ,,3,3,186,186
187,DE24B,DE24B,,,,Kulmbach ,,3,3,187,187
188,DE24C,DE24C,,,,Lichtenfels ,,3,3,188,188
189,DE24D,DE24D,,,,Wunsiedel i. Fichtelgebirge,,3,3,189,189
190,DE25,DE25,,,Mittelfranken ,,,2,3,190,190
191,DE251,DE251,,,,"Ansbach, Kreisfreie Stadt",,3,3,191,191
192,DE252,DE252,,,,"Erlangen, Kreisfreie Stadt ",,3,3,192,192
193,DE253,DE253,,,,"Fürth, Kreisfreie Stadt ",,3,3,193,193
194,DE254,DE254,,,,"Nürnberg, Kreisfreie Stadt",,3,3,194,194
195,DE255,DE255,,,,"Schwabach, Kreisfreie Stadt ",,3,3,195,195
196,DE256,DE256,,,,"Ansbach, Landkreis ",,3,3,196,196
197,DE257,DE257,,,,Erlangen-Höchstadt ,,3,3,197,197
198,DE258,DE258,,,,"Fürth, Landkreis ",,3,3,198,198
199,DE259,DE259,,,,Nürnberger Land,,3,3,199,199
200,DE25A,DE25A,,,,Neustadt a. d. Aisch-Bad Windsheim,,3,3,200,200
201,DE25B,DE25B,,,,Roth ,,3,3,201,201
202,DE25C,DE25C,,,,Weißenburg-Gunzenhausen,,3,3,202,202
203,DE26,DE26,,,Unterfranken ,,,2,3,203,203
204,DE261,DE261,,,,"Aschaffenburg, Kreisfreie Stadt ",,3,3,204,204
205,DE262,DE262,,,,"Schweinfurt, Kreisfreie Stadt ",,3,3,205,205
206,DE263,DE263,,,,"Würzburg, Kreisfreie Stadt ",,3,3,206,206
207,DE264,DE264,,,,"Aschaffenburg, Landkreis ",,3,3,207,207
208,DE265,DE265,,,,Bad Kissingen ,,3,3,208,208
209,DE266,DE266,,,,Rhön-Grabfeld,,3,3,209,209
210,DE267,DE267,,,,Haßberge,,3,3,210,210
211,DE268,DE268,,,,Kitzingen ,,3,3,211,211
212,DE269,DE269,,,,Miltenberg,,3,3,212,212
213,DE26A,DE26A,,,,Main-Spessart ,,3,3,213,213
214,DE26B,DE26B,,,,"Schweinfurt, Landkreis",,3,3,214,214
215,DE26C,DE26C,,,,"Würzburg, Landkreis ",,3,3,215,215
216,DE27,DE27,,,Schwaben ,,,2,3,216,216
217,DE271,DE271,,,,"Augsburg, Kreisfreie Stadt ",,3,3,217,217
218,DE272,DE272,,,,"Kaufbeuren, Kreisfreie Stadt ",,3,3,218,218
219,DE273,DE273,,,,"Kempten (Allgäu), Kreisfreie Stadt ",,3,3,219,219
220,DE274,DE274,,,,"Memmingen, Kreisfreie Stadt ",,3,3,220,220
221,DE275,DE275,,,,Aichach-Friedberg ,,3,3,221,221
222,DE276,DE276,,,,"Augsburg, Landkreis ",,3,3,222,222
223,DE277,DE277,,,,Dillingen a.d. Donau,,3,3,223,223
224,DE278,DE278,,,,Günzburg,,3,3,224,224
225,DE279,DE279,,,,Neu-Ulm,,3,3,225,225
226,DE27A,DE27A,,,,Lindau (Bodensee),,3,3,226,226
227,DE27B,DE27B,,,,Ostallgäu,,3,3,227,227
228,DE27C,DE27C,,,,Unterallgäu,,3,3,228,228
229,DE27D,DE27D,,,,Donau-Ries ,,3,3,229,229
230,DE27E,DE27E,,,,Oberallgäu ,,3,3,230,230
231,DE3,DE3,,BERLIN ,,,,1,3,231,231
232,DE3,DE3,,,Berlin,,,2,3,232,232
233,DE301,DE301,,,,"Berlin-West, Stadt",,3,3,233,233
234,DE302,DE302,,,,"Berlin-Ost, Stadt",,3,3,234,234
235,DE4,DE4,,BRANDENBURG ,,,,1,3,235,235
236,DE4,DE4,,,Brandenburg,,,2,3,236,236
237,DE401,DE401,,,,"Brandenburg an der Havel, Kreisfreie Stadt",,3,3,237,237
238,DE402,DE402,,,,"Cottbus, Kreisfreie Stadt",,3,3,238,238
239,DE403,DE403,,,,"Frankfurt (Oder), Kreisfreie Stadt",,3,3,239,239
240,DE404,DE404,,,,"Potsdam, Kreisfreie Stadt",,3,3,240,240
241,DE405,DE405,,,,Barnim,,3,3,241,241
242,DE406,DE406,,,,Dahme-Spreewald,,3,3,242,242
243,DE407,DE407,,,,Elbe-Elster,,3,3,243,243
244,DE408,DE408,,,,Havelland,,3,3,244,244
245,DE409,DE409,,,,Märkisch-Oderland,,3,3,245,245
246,DE40A,DE40A,,,,Oberhavel,,3,3,246,246
247,DE40B,DE40B,,,,Oberspreewald-Lausitz,,3,3,247,247
248,DE40C,DE40C,,,,Oder-Spree,,3,3,248,248
249,DE40D,DE40D,,,,Ostprignitz-Ruppin,,3,3,249,249
250,DE40E,DE40E,,,,Potsdam-Mittelmark,,3,3,250,250
251,DE40F,DE40F,,,,Prignitz,,3,3,251,251
252,DE40G,DE40G,,,,Spree-Neiße,,3,3,252,252
253,DE40H,DE40H,,,,Teltow-Fläming,,3,3,253,253
254,DE40I,DE40I,,,,Uckermark,,3,3,254,254
255,DE5,DE5,,BREMEN ,,,,1,3,255,255
256,DE5,DE5,,,Bremen,,,2,3,256,256
257,DE501,DE501,,,,"Bremen, Kreisfreie Stadt ",,3,3,257,257
258,DE502,DE502,,,,"Bremerhaven, Kreisfreie Stadt ",,3,3,258,258
259,DE6,DE6,,HAMBURG ,,,,1,3,259,259
260,DE6,DE6,,,Hamburg,,,2,3,260,260
261,DE601,DE6,,,,Hamburg,Code and name change,3,3,261,261
262,DE7,DE7,,HESSEN,,,,1,3,262,262
263,DE71,DE71,,,Darmstadt ,,,2,3,263,263
264,DE711,DE711,,,,"Darmstadt, Kreisfreie Stadt ",,3,3,264,264
265,DE712,DE712,,,,"Frankfurt am Main, Kreisfreie Stadt ",,3,3,265,265
266,DE713,DE713,,,,"Offenbach am Main, Kreisfreie Stadt ",,3,3,266,266
267,DE714,DE714,,,,"Wiesbaden, Kreisfreie Stadt ",,3,3,267,267
268,DE715,DE715,,,,Bergstraße,,3,3,268,268
269,DE716,DE716,,,,Darmstadt-Dieburg ,,3,3,269,269
270,DE717,DE717,,,,Groß-Gerau ,,3,3,270,270
271,DE718,DE718,,,,Hochtaunuskreis ,,3,3,271,271
272,DE719,DE719,,,,Main-Kinzig-Kreis ,,3,3,272,272
273,DE71A,DE71A,,,,Main-Taunus-Kreis ,,3,3,273,273
274,DE71B,DE71B,,,,Odenwaldkreis ,,3,3,274,274
275,DE71C,DE71C,,,,"Offenbach, Landkreis ",,3,3,275,275
276,DE71D,DE71D,,,,Rheingau-Taunus-Kreis ,,3,3,276,276
277,DE71E,DE71E,,,,Wetteraukreis ,,3,3,277,277
278,DE72,DE72,,,Gießen ,,,2,3,278,278
279,DE721,DE721,,,,"Gießen, Landkreis ",,3,3,279,279
280,DE722,DE722,,,,Lahn-Dill-Kreis ,,3,3,280,280
281,DE723,DE723,,,,Limburg-Weilburg ,,3,3,281,281
282,DE724,DE724,,,,Marburg-Biedenkopf ,,3,3,282,282
283,DE725,DE725,,,,Vogelsbergkreis ,,3,3,283,283
284,DE73,DE73,,,Kassel ,,,2,3,284,284
285,DE731,DE731,,,,"Kassel, Kreisfreie Stadt ",,3,3,285,285
286,DE732,DE732,,,,Fulda ,,3,3,286,286
287,DE733,DE733,,,,Hersfeld-Rotenburg ,,3,3,287,287
288,DE734,DE734,,,,"Kassel, Landkreis ",,3,3,288,288
289,DE735,DE735,,,,Schwalm-Eder-Kreis ,,3,3,289,289
290,DE736,DE736,,,,Waldeck-Frankenberg ,,3,3,290,290
291,DE737,DE737,,,,Werra-Meißner-Kreis,,3,3,291,291
292,DE8,DE8,,MECKLENBURG-VORPOMMERN ,,,,1,3,292,292
293,DE8,DE8,,,Mecklenburg-Vorpommern,,,2,3,293,293
294,DE801,DE801,,,,"Greifswald, Kreisfreie Stadt",,3,3,294,294
295,DE802,DE802,,,,"Neubrandenburg, Kreisfreie Stadt",,3,3,295,295
296,DE803,DE803,,,,"Rostock, Kreisfreie Stadt",,3,3,296,296
297,DE804,DE804,,,,"Schwerin, Kreisfreie Stadt",,3,3,297,297
298,DE805,DE805,,,,"Stralsund, Kreisfreie Stadt",,3,3,298,298
299,DE806,DE806,,,,"Wismar, Kreisfreie Stadt",,3,3,299,299
300,DE807,DE807,,,,Bad Doberan ,,3,3,300,300
301,DE808,DE808,,,,Demmin ,,3,3,301,301
302,DE809,DE809,,,,Güstrow ,,3,3,302,302
303,DE80A,DE80A,,,,Ludwigslust ,,3,3,303,303
304,DE80B,DE80B,,,,Mecklenburg-Strelitz,,3,3,304,304
305,DE80C,DE80C,,,,Müritz,,3,3,305,305
306,DE80D,DE80D,,,,Nordvorpommern,,3,3,306,306
307,DE80E,DE80E,,,,Nordwestmecklenburg,,3,3,307,307
308,DE80F,DE80F,,,,Ostvorpommern,,3,3,308,308
309,DE80G,DE80G,,,,Parchim ,,3,3,309,309
310,DE80H,DE80H,,,,Rügen ,,3,3,310,310
311,DE80I,DE80I,,,,Uecker-Randow,,3,3,311,311
312,DE9,DE9,,NIEDERSACHSEN ,,,,1,3,312,312
313,DE91,DE91,,,Braunschweig ,,,2,3,313,313
314,DE911,DE911,,,,"Braunschweig, Kreisfreie Stadt ",,3,3,314,314
315,DE912,DE912,,,,"Salzgitter, Kreisfreie Stadt ",,3,3,315,315
316,DE913,DE913,,,,"Wolfsburg, Kreisfreie Stadt ",,3,3,316,316
317,DE914,DE914,,,,Gifhorn ,,3,3,317,317
318,DE915,DE915,,,,Göttingen ,,3,3,318,318
319,DE916,DE916,,,,Goslar ,,3,3,319,319
320,DE917,DE917,,,,Helmstedt ,,3,3,320,320
321,DE918,DE918,,,,Northeim ,,3,3,321,321
322,DE919,DE919,,,,Osterode am Harz ,,3,3,322,322
323,DE91A,DE91A,,,,Peine ,,3,3,323,323
324,DE91B,DE91B,,,,Wolfenbüttel ,,3,3,324,324
325,DE92,DE92,,,Hannover,,,2,3,325,325
326,DE921,DE921,,,,"Hannover, Kreisfreie Stadt",,3,3,326,326
327,DE922,DE922,,,,Diepholz ,,3,3,327,327
328,DE923,DE923,,,,Hameln-Pyrmont ,,3,3,328,328
329,DE924,DE924,,,,"Hannover, Landkreis",,3,3,329,329
330,DE925,DE925,,,,Hildesheim ,,3,3,330,330
331,DE926,DE926,,,,Holzminden ,,3,3,331,331
332,DE927,DE927,,,,Nienburg (Weser) ,,3,3,332,332
333,DE928,DE928,,,,Schaumburg ,,3,3,333,333
334,DE93,DE93,,,Lüneburg ,,,2,3,334,334
335,DE931,DE931,,,,Celle ,,3,3,335,335
336,DE932,DE932,,,,Cuxhaven ,,3,3,336,336
337,DE933,DE933,,,,Harburg ,,3,3,337,337
338,DE934,DE934,,,,Lüchow-Dannenberg,,3,3,338,338
339,DE935,DE935,,,,"Lüneburg, Landkreis ",,3,3,339,339
340,DE936,DE936,,,,Osterholz ,,3,3,340,340
341,DE937,DE937,,,,Rotenburg (Wümme),,3,3,341,341
342,DE938,DE938,,,,Soltau-Fallingbostel ,,3,3,342,342
343,DE939,DE939,,,,Stade ,,3,3,343,343
344,DE93A,DE93A,,,,Uelzen ,,3,3,344,344
345,DE93B,DE93B,,,,Verden ,,3,3,345,345
346,DE94,DE94,,,Weser-Ems ,,,2,3,346,346
347,DE941,DE941,,,,"Delmenhorst, Kreisfreie Stadt ",,3,3,347,347
348,DE942,DE942,,,,"Emden, Kreisfreie Stadt ",,3,3,348,348
349,DE943,DE943,,,,"Oldenburg (Oldenburg), Kreisfreie Stadt",,3,3,349,349
350,DE944,DE944,,,,"Osnabrück, Kreisfreie Stadt ",,3,3,350,350
351,DE945,DE945,,,,"Wilhelmshaven, Kreisfreie Stadt ",,3,3,351,351
352,DE946,DE946,,,,Ammerland ,,3,3,352,352
353,DE947,DE947,,,,Aurich ,,3,3,353,353
354,DE948,DE948,,,,Cloppenburg ,,3,3,354,354
355,DE949,DE949,,,,Emsland ,,3,3,355,355
356,DE94A,DE94A,,,,Friesland ,,3,3,356,356
357,DE94B,DE94B,,,,Grafschaft Bentheim ,,3,3,357,357
358,DE94C,DE94C,,,,Leer ,,3,3,358,358
359,DE94D,DE94D,,,,"Oldenburg, Landkreis",,3,3,359,359
360,DE94E,DE94E,,,,"Osnabrück, Landkreis ",,3,3,360,360
361,DE94F,DE94F,,,,Vechta ,,3,3,361,361
362,DE94G,DE94G,,,,Wesermarsch ,,3,3,362,362
363,DE94H,DE94H,,,,Wittmund ,,3,3,363,363
364,DEA,DEA,,NORDRHEIN-WESTFALEN ,,,,1,3,364,364
365,DEA1,DEA1,,,Düsseldorf ,,,2,3,365,365
366,DEA11,DEA11,,,,"Düsseldorf, Kreisfreie Stadt ",,3,3,366,366
367,DEA12,DEA12,,,,"Duisburg, Kreisfreie Stadt ",,3,3,367,367
368,DEA13,DEA13,,,,"Essen, Kreisfreie Stadt ",,3,3,368,368
369,DEA14,DEA14,,,,"Krefeld, Kreisfreie Stadt ",,3,3,369,369
370,DEA15,DEA15,,,,"Mönchengladbach, Kreisfreie Stadt ",,3,3,370,370
371,DEA16,DEA16,,,,"Mülheim an der Ruhr,Kreisfreie Stadt",,3,3,371,371
372,DEA17,DEA17,,,,"Oberhausen, Kreisfreie Stadt",,3,3,372,372
373,DEA18,DEA18,,,,"Remscheid, Kreisfreie Stadt ",,3,3,373,373
374,DEA19,DEA19,,,,"Solingen, Kreisfreie Stadt",,3,3,374,374
375,DEA1A,DEA1A,,,,"Wuppertal, Kreisfreie Stadt",,3,3,375,375
376,DEA1B,DEA1B,,,,Kleve ,,3,3,376,376
377,DEA1C,DEA1C,,,,Mettmann ,,3,3,377,377
378,DEA1D,DEA1D,,,,Neuss ,,3,3,378,378
379,DEA1E,DEA1E,,,,Viersen ,,3,3,379,379
380,DEA1F,DEA1F,,,,Wesel ,,3,3,380,380
381,DEA2,DEA2,,,Köln,,,2,3,381,381
382,DEA21,DEA21,,,,"Aachen, Kreisfreie Stadt ",,3,3,382,382
383,DEA22,DEA22,,,,"Bonn, Kreisfreie Stadt ",,3,3,383,383
384,DEA23,DEA23,,,,"Köln, Kreisfreie Stadt ",,3,3,384,384
385,DEA24,DEA24,,,,"Leverkusen, Kreisfreie Stadt ",,3,3,385,385
386,DEA25,DEA25,,,,"Aachen, Kreis",,3,3,386,386
387,DEA26,DEA26,,,,Düren ,,3,3,387,387
388,DEA27,DEA27,,,,Erftkreis ,,3,3,388,388
389,DEA28,DEA28,,,,Euskirchen ,,3,3,389,389
390,DEA29,DEA29,,,,Heinsberg ,,3,3,390,390
391,DEA2A,DEA2A,,,,Oberbergischer Kreis ,,3,3,391,391
392,DEA2B,DEA2B,,,,Rheinisch-Bergischer Kreis,,3,3,392,392
393,DEA2C,DEA2C,,,,Rhein-Sieg-Kreis ,,3,3,393,393
394,DEA3,DEA3,,,Münster,,,2,3,394,394
395,DEA31,DEA31,,,,"Bottrop, Kreisfreie Stadt ",,3,3,395,395
396,DEA32,DEA32,,,,"Gelsenkirchen, Kreisfreie Stadt",,3,3,396,396
397,DEA33,DEA33,,,,"Münster, Kreisfreie Stadt",,3,3,397,397
398,DEA34,DEA34,,,,Borken ,,3,3,398,398
399,DEA35,DEA35,,,,Coesfeld ,,3,3,399,399
400,DEA36,DEA36,,,,Recklinghausen ,,3,3,400,400
401,DEA37,DEA37,,,,Steinfurt ,,3,3,401,401
402,DEA38,DEA38,,,,Warendorf ,,3,3,402,402
403,DEA4,DEA4,,,Detmold,,,2,3,403,403
