,,,,Labels (version 1999 except in italics = version 1995),,,,NUTS ,Sorting order ,,
,Code 1995,Code 1999,Country,NUTS level 1,NUTS level 2,NUTS level 3,Change,level,of countries,NUTS 1995,NUTS 1999
1,BE,BE,BELGIQUE-BELGIË ,,,,,0,1,1,1
2,BE1,BE1,,RÉG. DE BRUXELLES-CAP.- BRUSSELS HFDST. GEWEST,,,,1,1,2,2
3,BE1,BE1,,,Rég. de Bruxelles-Cap Brussels Hfdst. gewest,,,2,1,3,3
4,BE1,BE1,,,,Rég. de Bruxelles-Cap Brussels Hfdst. gewest,,3,1,4,4
5,BE2,BE2,,VLAAMS GEWEST ,,,,1,1,5,5
6,BE21,BE21,,, Antwerpen ,,,2,1,6,6
7,BE211,BE211,,,,Antwerpen (Arrondissement),,3,1,7,7
8,BE212,BE212,,,,Mechelen ,,3,1,8,8
9,BE213,BE213,,,,Turnhout ,,3,1,9,9
10,BE22,BE22,,,Limburg (b),,Name change,2,1,10,10
11,BE221,BE221,,,,Hasselt,,3,1,11,11
12,BE222,BE222,,,,Maaseik,,3,1,12,12
13,BE223,BE223,,,,Tongeren,,3,1,13,13
14,BE23,BE23,,,Oost-Vlaanderen,,,2,1,14,14
15,BE231,BE231,,,,Aalst,,3,1,15,15
16,BE232,BE232,,,,Dendermonde,,3,1,16,16
17,BE233,BE233,,,,Eeklo,,3,1,17,17
18,BE234,BE234,,,,Gent (Arrondissement),,3,1,18,18
19,BE235,BE235,,,,Oudenaarde,,3,1,19,19
20,BE236,BE236,,,,Sint-Niklaas,,3,1,20,20
21,BE24,BE24,,,Vlaams-Brabant,,,2,1,21,21
22,BE241,BE241,,,,Halle-Vilvoorde ,,3,1,22,22
23,BE242,BE242,,,,Leuven ,,3,1,23,23
24,BE25,BE25,,,West-Vlaanderen,,,2,1,24,24
25,BE251,BE251,,,,Brugge,,3,1,25,25
26,BE252,BE252,,,,Diksmuide,,3,1,26,26
27,BE253,BE253,,,,Ieper,,3,1,27,27
28,BE254,BE254,,,,Kortrijk,,3,1,28,28
29,BE255,BE255,,,,Oostende,,3,1,29,29
30,BE256,BE256,,,,Roeselare,,3,1,30,30
31,BE257,BE257,,,,Tielt,,3,1,31,31
32,BE258,BE258,,,,Veurne,,3,1,32,32
33,BE3,BE3,,RÉGION WALLONNE,,,,1,1,33,33
34,BE31,BE31,,,Brabant Wallon,,,2,1,34,34
35,BE31,BE31,,,,Brabant Wallon,,3,1,35,35
36,BE32,BE32,,,Hainaut ,,,2,1,36,36
37,BE321,BE321,,,,Ath ,,3,1,37,37
38,BE322,BE322,,,,Charleroi ,,3,1,38,38
39,BE323,BE323,,,,Mons ,,3,1,39,39
40,BE324,BE324,,,,Mouscron ,,3,1,40,40
41,BE325,BE325,,,,Soignies ,,3,1,41,41
42,BE326,BE326,,,,Thuin ,,3,1,42,42
43,BE327,BE327,,,,Tournai ,,3,1,43,43
44,BE33,BE33,,,Liège ,,,2,1,44,44
45,BE331,BE331,,,,Huy ,,3,1,45,45
46,BE332,BE332,,,,Liège (Arrondissement),,3,1,46,46
47,BE333,BE333,,,,Verviers ,,3,1,47,47
48,BE334,BE334,,,,Waremme ,,3,1,48,48
49,BE34,BE34,,,Luxembourg (b) ,,Name change,2,1,49,49
50,BE341,BE341,,,,Arlon ,,3,1,50,50
51,BE342,BE342,,,,Bastogne ,,3,1,51,51
52,BE343,BE343,,,,Marche-en-Famenne ,,3,1,52,52
53,BE344,BE344,,,,Neufchâteau ,,3,1,53,53
54,BE345,BE345,,,,Virton ,,3,1,54,54
55,BE35,BE35,,,Namur ,,,2,1,55,55
56,BE351,BE351,,,,Dinant ,,3,1,56,56
57,BE352,BE352,,,,Namur (Arrondissement),,3,1,57,57
58,BE353,BE353,,,,Philippeville ,,3,1,58,58
59,DK,DK,DANMARK,,,,,0,2,59,59
60,DK,DK,,DANMARK,,,,1,2,60,60
61,DK,DK,,,Danmark,,,2,2,61,61
62,DK001,DK001,,,,København og Frederiksberg kommuner,,3,2,62,62
63,DK002,DK002,,,,Københavns amt ,,3,2,63,63
64,DK003,DK003,,,,Frederiksborg amt ,,3,2,64,64
65,DK004,DK004,,,,Roskilde amt ,,3,2,65,65
66,DK005,DK005,,,,Vestsjællands amt ,,3,2,66,66
67,DK006,DK006,,,,Storstrøms amt ,,3,2,67,67
68,DK007,DK007,,,,Bornholms amt ,,3,2,68,68
69,DK008,DK008,,,,Fyns amt ,,3,2,69,69
70,DK009,DK009,,,,Sønderjyllands amt ,,3,2,70,70
71,DK00A,DK00A,,,,Ribe amt ,,3,2,71,71
72,DK00B,DK00B,,,,Vejle amt ,,3,2,72,72
73,DK00C,DK00C,,,,Ringkøbing amt ,,3,2,73,73
74,DK00D,DK00D,,,,Århus amt ,,3,2,74,74
75,DK00E,DK00E,,,,Viborg amt ,,3,2,75,75
76,DK00F,DK00F,,,,Nordjyllands amt ,,3,2,76,76
77,DE,DE,DEUTSCHLAND ,,,,,0,3,77,77
78,DE1,DE1,,BADEN-WÜRTTEMBERG ,,,,1,3,78,78
79,DE11,DE11,,,Stuttgart ,,,2,3,79,79
80,DE111,DE111,,,,"Stuttgart, Stadtkreis ",,3,3,80,80
81,DE112,DE112,,,,Böblingen ,,3,3,81,81
82,DE113,DE113,,,,Esslingen ,,3,3,82,82
83,DE114,DE114,,,,Göppingen ,,3,3,83,83
84,DE115,DE115,,,,Ludwigsburg ,,3,3,84,84
85,DE116,DE116,,,,Rems-Murr-Kreis ,,3,3,85,85
86,DE117,DE117,,,,"Heilbronn, Stadtkreis ",,3,3,86,86
87,DE118,DE118,,,,"Heilbronn, Landkreis ",,3,3,87,87
88,DE119,DE119,,,,Hohenlohekreis ,,3,3,88,88
89,DE11A,DE11A,,,,Schwäbisch Hall ,,3,3,89,89
90,DE11B,DE11B,,,,Main-Tauber-Kreis ,,3,3,90,90
91,DE11C,DE11C,,,,Heidenheim ,,3,3,91,91
92,DE11D,DE11D,,,,Ostalbkreis ,,3,3,92,92
93,DE12,DE12,,,Karlsruhe ,,,2,3,93,93
94,DE121,DE121,,,,"Baden-Baden, Stadtkreis ",,3,3,94,94
95,DE122,DE122,,,,"Karlsruhe, Stadtkreis ",,3,3,95,95
96,DE123,DE123,,,,"Karlsruhe, Landkreis ",,3,3,96,96
97,DE124,DE124,,,,Rastatt ,,3,3,97,97
98,DE125,DE125,,,,"Heidelberg, Stadtkreis ",,3,3,98,98
99,DE126,DE126,,,,"Mannheim, Stadtkreis ",,3,3,99,99
100,DE127,DE127,,,,Neckar-Odenwald-Kreis ,,3,3,100,100
101,DE128,DE128,,,,Rhein-Neckar-Kreis ,,3,3,101,101
102,DE129,DE129,,,,"Pforzheim, Stadtkreis ",,3,3,102,102
103,DE12A,DE12A,,,,Calw ,,3,3,103,103
104,DE12B,DE12B,,,,Enzkreis ,,3,3,104,104
105,DE12C,DE12C,,,,Freudenstadt ,,3,3,105,105
106,DE13,DE13,,,Freiburg ,,,2,3,106,106
107,DE131,DE131,,,,"Freiburg im Breisgau, Stadtkreis ",,3,3,107,107
108,DE132,DE132,,,,Breisgau-Hochschwarzwald ,,3,3,108,108
109,DE133,DE133,,,,Emmendingen ,,3,3,109,109
110,DE134,DE134,,,,Ortenaukreis ,,3,3,110,110
111,DE135,DE135,,,,Rottweil ,,3,3,111,111
112,DE136,DE136,,,,Schwarzwald-Baar-Kreis,,3,3,112,112
113,DE137,DE137,,,,Tuttlingen ,,3,3,113,113
114,DE138,DE138,,,,Konstanz ,,3,3,114,114
115,DE139,DE139,,,,Lörrach ,,3,3,115,115
116,DE13A,DE13A,,,,Waldshut ,,3,3,116,116
117,DE14,DE14,,,Tübingen ,,,2,3,117,117
118,DE141,DE141,,,,Reutlingen ,,3,3,118,118
119,DE142,DE142,,,,"Tübingen, Landkreis ",,3,3,119,119
120,DE143,DE143,,,,Zollernalbkreis ,,3,3,120,120
121,DE144,DE144,,,,"Ulm, Stadtkreis ",,3,3,121,121
122,DE145,DE145,,,,Alb-Donau-Kreis ,,3,3,122,122
123,DE146,DE146,,,,Biberach ,,3,3,123,123
124,DE147,DE147,,,,Bodenseekreis ,,3,3,124,124
125,DE148,DE148,,,,Ravensburg ,,3,3,125,125
126,DE149,DE149,,,,Sigmaringen ,,3,3,126,126
127,DE2,DE2,,BAYERN ,,,,1,3,127,127
128,DE21,DE21,,,Oberbayern ,,,2,3,128,128
129,DE211,DE211,,,,"Ingolstadt, Kreisfreie Stadt ",,3,3,129,129
130,DE212,DE212,,,,"München, Kreisfreie Stadt ",,3,3,130,130
131,DE213,DE213,,,,"Rosenheim, Kreisfreie Stadt ",,3,3,131,131
132,DE214,DE214,,,,Altötting ,,3,3,132,132
133,DE215,DE215,,,,Berchtesgadener Land,,3,3,133,133
134,DE216,DE216,,,,Bad Tölz-Wolfratshausen,,3,3,134,134
135,DE217,DE217,,,,Dachau ,,3,3,135,135
136,DE218,DE218,,,,Ebersberg ,,3,3,136,136
137,DE219,DE219,,,,Eichstätt ,,3,3,137,137
138,DE21A,DE21A,,,,Erding ,,3,3,138,138
139,DE21B,DE21B,,,,Freising ,,3,3,139,139
140,DE21C,DE21C,,,,Fürstenfeldbruck ,,3,3,140,140
141,DE21D,DE21D,,,,Garmisch-Partenkirchen,,3,3,141,141
142,DE21E,DE21E,,,,Landsberg a. Lech,,3,3,142,142
143,DE21F,DE21F,,,,Miesbach ,,3,3,143,143
144,DE21G,DE21G,,,,Mühldorf a. Inn,,3,3,144,144
145,DE21H,DE21H,,,,"München, Landkreis ",,3,3,145,145
146,DE21I,DE21I,,,,Neuburg-Schrobenhausen ,,3,3,146,146
147,DE21J,DE21J,,,,Pfaffenhofen a. d. Ilm,,3,3,147,147
148,DE21K,DE21K,,,,"Rosenheim, Landkreis ",,3,3,148,148
149,DE21L,DE21L,,,,Starnberg ,,3,3,149,149
150,DE21M,DE21M,,,,Traunstein ,,3,3,150,150
151,DE21N,DE21N,,,,Weilheim-Schongau,,3,3,151,151
152,DE22,DE22,,,Niederbayern ,,,2,3,152,152
153,DE221,DE221,,,,"Landshut, Kreisfreie Stadt ",,3,3,153,153
154,DE222,DE222,,,,"Passau, Kreisfreie Stadt ",,3,3,154,154
155,DE223,DE223,,,,"Straubing, Kreisfreie Stadt",,3,3,155,155
156,DE224,DE224,,,,Deggendorf ,,3,3,156,156
157,DE225,DE225,,,,Freyung-Grafenau ,,3,3,157,157
158,DE226,DE226,,,,Kelheim ,,3,3,158,158
159,DE227,DE227,,,,"Landshut, Landkreis ",,3,3,159,159
160,DE228,DE228,,,,"Passau, Landkreis ",,3,3,160,160
161,DE229,DE229,,,,Regen ,,3,3,161,161
162,DE22A,DE22A,,,,Rottal-Inn ,,3,3,162,162
163,DE22B,DE22B,,,,Straubing-Bogen ,,3,3,163,163
164,DE22C,DE22C,,,,Dingolfing-Landau,,3,3,164,164
165,DE23,DE23,,,Oberpfalz ,,,2,3,165,165
166,DE231,DE231,,,,"Amberg, Kreisfreie Stadt ",,3,3,166,166
167,DE232,DE232,,,,"Regensburg, Kreisfreie Stadt ",,3,3,167,167
168,DE233,DE233,,,,"Weiden i. d. OPf.,Kreisfreie Stadt",,3,3,168,168
169,DE234,DE234,,,,Amberg-Sulzbach ,,3,3,169,169
170,DE235,DE235,,,,Cham ,,3,3,170,170
171,DE236,DE236,,,,Neumarkt i. d. OPf. ,,3,3,171,171
172,DE237,DE237,,,,Neustadt a. d. Waldnaab,,3,3,172,172
173,DE238,DE238,,,,"Regensburg, Landkreis ",,3,3,173,173
174,DE239,DE239,,,,Schwandorf ,,3,3,174,174
175,DE23A,DE23A,,,,Tirschenreuth ,,3,3,175,175
176,DE24,DE24,,,Oberfranken ,,,2,3,176,176
177,DE241,DE241,,,,"Bamberg, Kreisfreie Stadt ",,3,3,177,177
178,DE242,DE242,,,,"Bayreuth, Kreisfreie Stadt ",,3,3,178,178
